Node,Topsis
0,0.304321081040401
1,0.007846202241297088
2,0.0072380206392415655
3,0.00784618441478798
4,0.007238022157417995
5,0.007463537219522288
6,0.00702916091213316
7,0.00915425781635839
8,0.007119920252933161
9,0.014475698410356584
10,0.007238020681219419
11,0.006928186433011817
12,0.006928186433011817
13,0.009744700811660458
14,0.007643810206822532
15,0.006928186433011817
16,0.007175630027449642
17,0.007463509348285837
18,0.006928186433011817
19,0.007742410269554052
20,0.007643812032505876
21,0.01671149090848915
22,0.007306930951230239
23,0.007846273626823993
24,0.007742330094911816
25,0.016885876620843183
26,0.016680858113303252
27,0.0069943853659860805
28,0.007463508917635987
29,0.007463524058894534
30,0.007846179640384088
31,0.008568922682569867
32,0.007029160579178613
33,0.0069336750921443965
34,0.012743038703230056
35,0.006933675092203341
36,0.007306921143141651
37,0.006928186433011817
38,0.007175637911109262
39,0.007643816410213571
40,0.011991104512002894
41,0.008704104064325473
42,0.0069336750921443965
43,0.006928186433011817
44,0.007029160579450784
45,0.0073821512816346245
46,0.006994384834055348
47,0.006933675092788325
48,0.008437629006754092
49,0.006966828012633955
50,0.007306928227963895
51,0.007071047666185018
52,0.006933675092161848
53,0.009744894705679363
54,0.007119921462156437
55,0.007846161210641484
56,0.019327173795046514
57,0.00764382530938326
58,0.16946372903267143
59,0.008068896313461185
60,0.0071199178563008765
61,0.006946568796076642
62,0.008985384337095146
63,0.007029160715980252
64,0.008527331286597753
65,0.007382156768683858
66,0.0076438041424674395
67,0.018883628742211663
68,0.007175629266020774
69,0.007238022635608561
70,0.0069336750921856665
71,0.006946567972707358
72,0.008704052207919885
73,0.007238028103480392
74,0.006928186433011817
75,0.007550794816989769
76,0.0069465679806127315
77,0.007029164082622142
78,0.007175627220452517
79,0.007382147036044496
80,0.00901548186516984
81,0.00694656881131055
82,0.010232956090725073
83,0.007071047666185018
84,0.007463524133429929
85,0.0075507982231073495
86,0.007029160579305524
87,0.00850329729755654
88,0.008187441474432953
89,0.007119921021137413
90,0.006933675092149952
91,0.007119920252933161
92,0.008310325568481373
93,0.00711991773326277
94,0.008437572119434543
95,0.007029161412370508
96,0.007175638379543463
97,0.006946568521326394
98,0.012925965435202014
99,0.007463515323127951
100,0.007175634696600735
101,0.008068897083936925
102,0.00702916057928187
103,0.008751925860072021
104,0.00990499552599457
105,0.00755079683166436
106,0.0071199216057315565
107,0.9132769093285673
108,0.007463508568183135
109,0.010741288150165973
110,0.006994384833857386
111,0.007550813430869409
112,0.006946567972709775
113,0.011267015438850928
114,0.006928186433011817
115,0.0083103705911726
116,0.007846175677198383
117,0.00702916355794274
118,0.010569767764988677
119,0.016509859022759976
120,0.00806807905026972
121,0.007382162050533851
122,0.01627867124080136
123,0.007955088133226632
124,0.006966827742639589
125,0.008067038863697348
126,0.007071048826389641
127,0.007742337797759599
128,0.009280133278657864
129,0.007071047246928748
130,0.007742367740701937
131,0.007071046393595697
132,0.007742359009635208
133,0.007955108902670793
134,0.008068895212327749
135,0.007238019583289687
136,0.06260856186131959
137,0.007742360765592483
138,0.006933675092228321
139,0.007175627398535979
140,0.0073069220455293064
141,0.009280137584395182
142,0.011807697470858197
143,0.007382163300371524
144,0.007643814522471472
145,0.006933675092149952
146,0.008311125038919823
147,0.00702916091213316
148,0.008187403849588172
149,0.007550795897632448
150,0.008728780729169166
151,0.007071046859298914
152,0.006994387435730479
153,0.006933675098239729
154,0.006933675092167335
155,0.00694656852137489
156,0.008439582603323195
157,0.006946568521339446
158,0.00884299970567885
159,0.0075508078075404
160,0.006933675093579392
161,0.008842955875167605
162,0.007119917242121058
163,0.007556283100444928
164,0.00694656832044851
165,0.007306925822494953
166,0.007509164618558706
167,0.007071047008103121
168,0.007306925589487579
169,0.011686488544522651
170,0.012361436732880003
171,0.03528990732415021
172,0.01144576832523204
173,0.012058441834109986
174,0.006966826079134336
175,0.007846210744575305
176,0.007550795426437487
177,0.007306925165185878
178,0.00746352392774891
179,0.0069465687959697825
180,0.008187378731107503
181,0.007238022157417995
182,0.006946568521291118
183,0.006933675094062778
184,0.007955100119082225
